
------------------------------------------------------------------------
This is catena4630-test1.ino.
System clock rate is 32.000 MHz
Enter 'help' for a list of commands.
(remember to select 'Line Ending: Newline' at the bottom of the monitor window.)
------------------------------------------------------------------------

FLASH found, put power down
?CatenaBase::GetProvisioningStyle: failing
?CatenaStm32L0::LoRaWAN::begin: Arduino_LoRaWAN:begin failed
?Catena463x::LoRaWAN::begin: Super::begin() failed
cPMS7003::fsmDispatch: enter stInitialSetup
hal begin
setReset: Z
setMode: Z
cPMS7003::fsmDispatch: enter stOff
wake
cPMS7003::fsmDispatch: enter stRequestPowerOn
set5v: 1
setReset: 0

OK
cPMS7003::fsmDispatch: enter stReset
setReset: 1
cPMS7003::fsmDispatch: enter stNormal
setMode: 1
CF1 pm 1.0=4     2.5=5     10=6     ATM pm 1.0=4     2.5=5     10=6     Dust .3=1017  .5=282   1.0=25    2.5=1     5=1     10=1    
CF1 pm 1.0=4     2.5=5     10=6     ATM pm 1.0=4     2.5=5     10=6     Dust .3=1023  .5=280   1.0=23    2.5=1     5=1     10=1    
CF1 pm 1.0=5     2.5=6     10=7     ATM pm 1.0=5     2.5=6     10=7     Dust .3=1023  .5=280   1.0=23    2.5=1     5=1     10=1    
CF1 pm 1.0=4     2.5=5     10=6     ATM pm 1.0=4     2.5=5     10=6     Dust .3=924   .5=255   1.0=20    2.5=1     5=1     10=1    
CF1 pm 1.0=4     2.5=5     10=6     ATM pm 1.0=4     2.5=5     10=6     Dust .3=924   .5=255   1.0=20    2.5=1     5=1     10=1    
CF1 pm 1.0=4     2.5=4     10=5     ATM pm 1.0=4     2.5=4     10=5     Dust .3=939   .5=259   1.0=21    2.5=1     5=1     10=1    
CF1 pm 1.0=4     2.5=4     10=5     ATM pm 1.0=4     2.5=4     10=5     Dust .3=939   .5=259   1.0=21    2.5=1     5=1     10=1    
CF1 pm 1.0=3     2.5=4     10=5     ATM pm 1.0=3     2.5=4     10=5     Dust .3=864   .5=233   1.0=21    2.5=1     5=1     10=1    
CF1 pm 1.0=3     2.5=4     10=5     ATM pm 1.0=3     2.5=4     10=5     Dust .3=864   .5=233   1.0=21    2.5=1     5=1     10=1    
CF1 pm 1.0=3     2.5=4     10=5     ATM pm 1.0=3     2.5=4     10=5     Dust .3=882   .5=235   1.0=23    2.5=2     5=1     10=1    
CF1 pm 1.0=3     2.5=4     10=5     ATM pm 1.0=3     2.5=4     10=5     Dust .3=882   .5=235   1.0=23    2.5=2     5=1     10=1    
CF1 pm 1.0=3     2.5=4     10=5     ATM pm 1.0=3     2.5=4     10=5     Dust .3=924   .5=242   1.0=27    2.5=2     5=1     10=1    
CF1 pm 1.0=3     2.5=4     10=5     ATM pm 1.0=3     2.5=4     10=5     Dust .3=924   .5=242   1.0=27    2.5=2     5=1     10=1    
CF1 pm 1.0=3     2.5=4     10=5     ATM pm 1.0=3     2.5=4     10=5     Dust .3=900   .5=240   1.0=27    2.5=2     5=1     10=1    
CF1 pm 1.0=3     2.5=4     10=5     ATM pm 1.0=3     2.5=4     10=5     Dust .3=900   .5=240   1.0=27    2.5=2     5=1     10=1    
CF1 pm 1.0=3     2.5=4     10=5     ATM pm 1.0=3     2.5=4     10=5     Dust .3=876   .5=233   1.0=22    2.5=2     5=1     10=1    
CF1 pm 1.0=3     2.5=4     10=5     ATM pm 1.0=3     2.5=4     10=5     Dust .3=876   .5=233   1.0=22    2.5=2     5=1     10=1    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=933   .5=254   1.0=26    2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=933   .5=254   1.0=26    2.5=1     5=0     10=0    
CF1 pm 1.0=5     2.5=6     10=6     ATM pm 1.0=5     2.5=6     10=6     Dust .3=942   .5=261   1.0=31    2.5=2     5=0     10=0    
CF1 pm 1.0=5     2.5=6     10=6     ATM pm 1.0=5     2.5=6     10=6     Dust .3=942   .5=261   1.0=31    2.5=2     5=0     10=0    
CF1 pm 1.0=5     2.5=7     10=7     ATM pm 1.0=5     2.5=7     10=7     Dust .3=999   .5=277   1.0=42    2.5=2     5=0     10=0    
sleep
fsmDispatch: unknown state 7

OK
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=999   .5=277   1.0=42    2.5=2     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=1005  .5=277   1.0=42    2.5=2     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=1005  .5=277   1.0=42    2.5=2     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=1011  .5=272   1.0=48    2.5=2     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=1011  .5=272   1.0=48    2.5=2     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=1086  .5=288   1.0=54    2.5=2     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=1086  .5=288   1.0=54    2.5=2     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=1074  .5=284   1.0=47    2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=1074  .5=284   1.0=47    2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=1020  .5=274   1.0=42    2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=1020  .5=274   1.0=42    2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=1056  .5=287   1.0=46    2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=1056  .5=287   1.0=46    2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1038  .5=278   1.0=44    2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1038  .5=278   1.0=44    2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=1044  .5=280   1.0=42    2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=1044  .5=280   1.0=42    2.5=1     5=0     10=0    
CF1 pm 1.0=5     2.5=6     10=6     ATM pm 1.0=5     2.5=6     10=6     Dust .3=1038  .5=278   1.0=37    2.5=0     5=0     10=0    
CF1 pm 1.0=5     2.5=6     10=6     ATM pm 1.0=5     2.5=6     10=6     Dust .3=1038  .5=278   1.0=37    2.5=0     5=0     10=0    
CF1 pm 1.0=5     2.5=5     10=5     ATM pm 1.0=5     2.5=5     10=5     Dust .3=1023  .5=271   1.0=25    2.5=0     5=0     10=0    
CF1 pm 1.0=5     2.5=5     10=5     ATM pm 1.0=5     2.5=5     10=5     Dust .3=1023  .5=271   1.0=25    2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1107  .5=294   1.0=33    2.5=1     5=0     10=0    
